year,month,week,ymw,date,topic,z_1,N
1946,4,14,1946-4-14,1946-04-04,0,26,75157
1946,4,14,1946-4-14,1946-04-05,0,38,76639
1946,4,14,1946-4-14,1946-04-06,0,24,79772
1946,4,14,1946-4-14,1946-04-07,0,48,80594
1946,4,14,1946-4-14,1946-04-08,0,29,71040
1946,4,15,1946-4-15,1946-04-09,0,27,70371
1946,4,15,1946-4-15,1946-04-10,0,40,71864
1946,4,15,1946-4-15,1946-04-11,0,33,77766
1946,4,15,1946-4-15,1946-04-12,0,41,70442
1946,4,15,1946-4-15,1946-04-13,0,19,79128
1946,4,15,1946-4-15,1946-04-14,0,44,82208
1946,4,15,1946-4-15,1946-04-15,0,23,69551
1946,4,16,1946-4-16,1946-04-16,0,30,69230
1946,4,16,1946-4-16,1946-04-17,0,21,66730
1946,4,16,1946-4-16,1946-04-18,0,54,76467
1946,4,16,1946-4-16,1946-04-20,0,71,74313
1946,4,16,1946-4-16,1946-04-21,0,14,45394
1946,4,16,1946-4-16,1946-04-22,0,17,35283
1946,4,17,1946-4-17,1946-04-23,0,24,71479
1946,4,17,1946-4-17,1946-04-24,0,33,75953
1946,4,17,1946-4-17,1946-04-25,0,39,71306
1946,4,17,1946-4-17,1946-04-26,0,49,68799
1946,4,17,1946-4-17,1946-04-27,0,25,82115
1946,4,17,1946-4-17,1946-04-28,0,73,83880
1946,4,17,1946-4-17,1946-04-29,0,12,69613
1946,4,18,1946-4-18,1946-04-30,0,39,75181
1946,5,18,1946-5-18,1946-05-01,0,45,46855
1946,5,18,1946-5-18,1946-05-02,0,57,71214
1946,5,18,1946-5-18,1946-05-03,0,41,71894
1946,5,18,1946-5-18,1946-05-04,0,41,77398
1946,5,18,1946-5-18,1946-05-05,0,41,83367
1946,5,18,1946-5-18,1946-05-06,0,49,72308
1946,5,19,1946-5-19,1946-05-07,0,33,69829
1946,5,19,1946-5-19,1946-05-08,0,30,73768
1946,5,19,1946-5-19,1946-05-09,0,41,75081
1946,5,19,1946-5-19,1946-05-10,0,23,75358
1946,5,19,1946-5-19,1946-05-11,0,28,79568
1946,5,19,1946-5-19,1946-05-12,0,24,80608
1946,5,19,1946-5-19,1946-05-13,0,21,63992
1946,5,20,1946-5-20,1946-05-14,0,21,71520
1946,5,20,1946-5-20,1946-05-15,0,28,75655
1946,5,20,1946-5-20,1946-05-16,0,41,76687
